
Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	26.7292302405967	0.710887091786463	26.7386818993027	1.52347187924117	10.1022849744942
2	79433	26.5769630546152	0.579967773629208	26.5832903874752	1.25012148176211	11.3231379714118
3	63096	26.4977071355615	0.495441616501679	26.5023384975241	1.07116461790567	12.6497859680624
4	50119	26.4422377295234	0.44118241746836	26.4459179850145	0.955877695991971	13.9966209646619
5	39811	26.4390519290027	0.406060648364116	26.4421699592649	0.879900399223392	15.2320339615428
6	31623	26.4283570599295	0.383014333278901	26.4311323417409	0.830303924200162	16.4630189584349
7	25119	26.4204133559258	0.373597216283189	26.4230546451011	0.810135591459377	17.7389639552134
8	19953	26.4452243264202	0.372569227118245	26.4478486365844	0.807148840647241	19.0150759519915
9	15849	26.4701696298092	0.377754419226819	26.4728649494556	0.817609598866448	20.3012719487442
10	12589	26.4997003194419	0.389559964347238	26.5025635361195	0.842218361918811	21.5621429455608
11	10000	26.5220311798242	0.407168404385776	26.5251564371088	0.879540426020412	23.6655129402503
12	7943.3	26.5771624449294	0.424148143817312	26.5805467451682	0.91431264401585	24.8104539373596
13	6309.6	26.6306264099949	0.442511114489786	26.6343026767206	0.951974832512697	26.0514559342264
14	5011.9	26.691023350601	0.45847747004458	26.6949607434224	0.98408519410253	27.3380499309781
15	3981.1	26.7509438569481	0.471573330349617	26.7551000492147	1.00992187163967	28.5986259277954
16	3162.3	26.824721952316	0.480153551408911	26.8290189021513	1.02546578097564	29.8596899246115
17	2511.9	26.8955886022331	0.484838069816072	26.899958256743	1.03274061389856	31.1106719214531
18	1995.3	26.9537125482272	0.483593673950458	26.9580504297686	1.02786968455665	32.3565109183077
19	1584.9	27.0259998818662	0.480223446035283	27.0302660766178	1.01797830067656	33.5571369152764
20	1258.9	27.0773604215787	0.477383999429389	27.0815683239171	1.01004139717482	34.7681229122189
21	1000	27.1384300673929	0.474349097943363	27.1425752939822	1.00136352847651	36.0137219090741
22	794.33	27.1778245258944	0.477185762745628	27.1820133951198	1.00589071092414	37.3552499056871
23	630.96	27.2411017350467	0.484439691377178	27.2454088894578	1.01880697009229	38.5808869025926
24	501.19	27.2822115626082	0.499206600138462	27.2867783913114	1.04827424709455	39.8316828994347
25	398.11	27.3365355693626	0.519242506641322	27.3414664880239	1.08817106682573	41.0472408963657
26	316.23	27.3824389668093	0.54999861129011	27.3879619950711	1.15067771773784	42.3330668931193
27	251.19	27.4414804198644	0.581675562143964	27.4476446001	1.21431366379422	43.6344548898336
28	199.53	27.5083991378987	0.631644217652515	27.5156500477026	1.31538695502973	44.9004018866374
29	158.49	27.5705529567696	0.678930911503223	27.5789111011409	1.41063604167471	46.1816998834024
30	125.89	27.6463029851896	0.737955959096397	27.6561502698129	1.52901906175109	47.5034048800654
31	100	27.7359278511228	0.799854151434925	27.7474586300485	1.65184916305649	48.7994938767931
32	79.433	27.8159580958422	0.874938068854572	27.8297150796407	1.80161817755587	50.1257868734446
33	63.096	27.9167667670217	0.957994929676919	27.9331992619816	1.96539721901354	51.5129068699424
34	50.119	28.0032656172295	1.06159372759363	28.023380710963	2.17102277017874	52.8090568666699
35	39.811	28.0977721897699	1.17050089944045	28.1221420660624	2.38545627763554	61.8611788438155
36	31.623	28.228192945986	1.30015061089627	28.2581186317637	2.63709878310156	63.3996848399312
37	25.119	28.3810138583224	1.44748185458904	28.4179019518622	2.91965623014572	64.9782668359456
38	19.953	28.4999024608329	1.61646309115065	28.5457070888433	3.24623531228698	66.7878898313768
39	15.849	28.6670716758874	1.81774561106909	28.7246444290791	3.62820120607775	68.6391738267027
40	12.589	28.8164017728903	2.04640932596882	28.8889737143092	4.06206531079117	70.6111858217239
41	10	29.0021204572868	2.33165204498358	29.0956971436989	4.59646061841837	72.8652838160328
42	7.9433	29.1776229279679	2.67203865943362	29.2997179222631	5.2324582040243	75.0893158104177
43	6.3096	29.3720337512359	3.08527452973195	29.5336297397993	5.9964294391195	77.4148718045462
44	5.0119	29.5665655592391	3.58724081122305	29.7833862347196	6.91774838226597	79.754577798639
45	3.9811	29.7572431196898	4.19906012840682	30.0520485831881	8.03200597425276	82.1549807925786
46	3.1623	29.9690204037175	4.95009581153894	30.3750824279022	9.37907673182122	84.6068687863882
47	2.5119	30.1875530261838	5.89606051970174	30.7579564886981	11.0515558788522	87.0583767801987
48	1.9953	30.3755000983415	7.06888628974776	31.1871794108049	13.1005117409518	89.5750517738447
49	1.5849	30.578871691385	8.52820824053386	31.745830115341	15.5833707596987	92.2177147671727
50	1.2589	30.7317347743315	10.3752246464259	32.4358568362801	18.6550019199416	95.0671467599785
51	1	30.8933140187155	12.7291329663526	33.4129866539052	22.393385416339	98.2169387520261
52	0.79433	31.0426140811431	15.644477432809	34.7619556863024	26.7466322072753	101.378821744043
53	0.63096	31.214403832666	19.3796154986831	36.7411010110687	31.8342806936597	104.77823473546
54	0.50119	31.26732448727	24.1560952939563	39.5115492032764	37.688481350383	108.58067572586
55	0.39811	31.4539116114852	30.1622599542947	43.5787847606329	43.7990920392558	112.711354715431
56	0.31623	31.7260491700411	37.8022411117261	49.3513082806215	49.9944836553719	117.4370487035
57	0.25119	32.0434843518752	47.1729578128716	57.0269483509668	55.8126513915191	122.79198668998
58	0.19953	32.4931287955506	59.1003522816366	67.4437177114206	61.198187121222	129.005935674291
59	0.15849	32.9086568258484	74.0367524991262	81.0211109199221	66.0352922301323	136.237970656032
60	0.12589	33.5357490754649	93.0191155543704	98.8797366732429	70.174481271974	144.735561634578
61	0.1	34.4844065749221	116.428247979941	121.427802518629	73.5014530233142	154.886581608949
